Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments,Concatenated value
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1198,0.01331,15.94538,2.208,35.20739904,6,572.4,62,3,18,Fall-Birmingham-Discount
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2872,0.01419,40.75368,0.9,36.678312,2,43,91,18,2,Fall-Birmingham-Collection
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,1600,0.0099,15.84,2.07,32.7888,8,739,97,3,13,Fall-Birmingham-Discount
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1601,0.0142,22.7342,0.805,18.301031,4,134.4,64,3,9,Fall-Birmingham-Collection
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,1101,0.0148,16.2948,0.483,7.8703884,5,282,37,9,3,Fall-Birmingham-Discount
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,1364,0.0072,9.8208,0.38,3.731904,3,167,68,0,3,Fall-Birmingham-Collection
Fall,9/2/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,2404,0.0085,20.434,0.69,14.09946,3,137,53,22,2,Fall-Birmingham-Discount
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,2383,0.0226,53.8558,1.518,81.7531044,2,15.36,45,4,13.5,Fall-London-Collection
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,2328,0.0141,32.8248,0.7015,23.0265972,7,115.08,38,0,19.5,Fall-London-Discount
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,3303,0.0147,48.5541,0.88,42.727608,2,35.84,37,14,6,Fall-London-Collection
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,2484,0.0083,20.6172,1.56,32.162832,9,175.7,100,8,10,Fall-London-Discount
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,2402,0.01606,38.57612,0.023,0.88725076,3,38.4,49,6,15,Fall-London-Collection
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,2067,0.01606,33.19602,1.702,56.49962604,7,393.6,91,21,22.5,Fall-London-Discount
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,2573,0.01364,35.09572,0.46,16.1440312,7,191.8,31,3,12,Fall-London-Collection
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,3024,0.01628,49.23072,0.54,26.5845888,4,225,104,28,4,Fall-London-Discount
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1571,0.0214,33.6194,1.127,37.8890638,3,264,72,15,6,Fall-London-Collection
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,1081,0.013,14.053,0.4255,5.9795515,4,388.8,76,5,3,Fall-London-Discount
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,2955,0.0121,35.7555,0.47,16.805085,4,205,61,22,10,Fall-London-Collection
Fall,9/2/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,1706,0.0096,16.3776,0.63,10.317888,2,74,64,22,3,Fall-London-Discount
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,1753,0.0163,28.5739,0.5405,15.44419295,4,138.432,29,3,13.5,Fall-Manchester-Collection
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1559,0.0142,22.1378,2.001,44.2977378,6,357.84,73,3,18,Fall-Manchester-Discount
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,2567,0.0126,32.3442,0.91,29.433222,6,112,76,39,11,Fall-Manchester-Collection
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2997,0.0141,42.2577,1.02,43.102854,5,123.9,112,2,3,Fall-Manchester-Discount
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1993,0.01903,37.92679,0.0115,0.436158085,6,251.16,57,3,12,Fall-Manchester-Collection
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,913,0.0132,12.0516,1.8975,22.867911,8,445.2,103,14,16.5,Fall-Manchester-Discount
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2098,0.01518,31.84764,1.18,37.5802152,7,270.2,32,0,6,Fall-Manchester-Collection
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,1550,0.01199,18.5845,1.65,30.664425,9,766,97,20,9,Fall-Manchester-Discount
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,1470,0.0157,23.079,1.3455,31.0527945,8,427.2,42,8,12,Fall-Manchester-Collection
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,1504,0.0118,17.7472,0.598,10.6128256,5,393.6,38,17,6,Fall-Manchester-Discount
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2255,0.012,27.06,0.9,24.354,2,81,95,21,2,Fall-Manchester-Collection
Fall,9/2/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,1831,0.0078,14.2818,1.12,15.995616,2,205,76,3,11,Fall-Manchester-Discount
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448,0.0182,26.3536,0.3795,10.0011912,1,92.064,74,21,3,Fall-Birmingham-Collection
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1725,0.0124,21.39,2.346,50.18094,5,161.28,107,17,1.5,Fall-Birmingham-Discount
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,2160,0.0115,24.84,1.33,33.0372,0,327.6,46,33,9,Fall-Birmingham-Collection
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,2182,0.0094,20.5108,1.8,36.91944,4,114.24,131,12,6,Fall-Birmingham-Discount
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1439,0.01782,25.64298,1.3685,35.09241813,4,42,30,14,9,Fall-Birmingham-Collection
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,987,0.01287,12.70269,2.4725,31.40740102,4,202.8,52,4,6,Fall-Birmingham-Discount
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2365,0.01518,35.9007,0.19,6.821133,2,37.1,48,22,13,Fall-Birmingham-Collection
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,2258,0.00957,21.60906,1.88,40.6250328,8,599,72,2,8,Fall-Birmingham-Discount
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1379,0.0109,15.0311,0.552,8.2971672,6,192,61,14,6,Fall-Birmingham-Collection
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,703,0.0145,10.1935,0.138,1.406703,7,177.6,36,0,1.5,Fall-Birmingham-Discount
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,2005,0.0106,21.253,0.74,15.72722,6,443,12,12,0,Fall-Birmingham-Collection
Fall,9/3/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,2254,0.009,20.286,1.05,21.3003,3,269,36,20,2,Fall-Birmingham-Discount
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,2136,0.0136,29.0496,1.104,32.0707584,3,54.72,8,7,12,Fall-London-Collection
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,1541,0.0159,24.5019,0.5635,13.80682065,7,48,75,2,21,Fall-London-Discount
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,2816,0.0138,38.8608,0.65,25.25952,2,49.6,78,0,12,Fall-London-Collection
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,3196,0.0077,24.6092,0.96,23.624832,1,72.8,85,4,4,Fall-London-Discount
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,2028,0.02046,41.49288,0.2185,9.06619428,6,348.6,24,1,9,Fall-London-Collection
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,2052,0.01936,39.72672,2.3,91.371456,4,445.2,124,10,21,Fall-London-Discount
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,1975,0.01518,29.9805,0.4,11.9922,6,80.5,18,8,14,Fall-London-Collection
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,3086,0.01452,44.80872,1.24,55.5628128,2,213,130,28,10,Fall-London-Discount
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1702,0.0147,25.0194,1.0465,26.1828021,5,164.4,37,15,15,Fall-London-Collection
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,2006,0.0134,26.8804,0.805,21.638722,4,325.2,55,6,6,Fall-London-Discount
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,3008,0.0111,33.3888,1.05,35.05824,3,214,84,9,2,Fall-London-Collection
Fall,9/3/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,1882,0.0072,13.5504,1.12,15.176448,4,202,94,9,5,Fall-London-Discount
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,1664,0.0191,31.7824,0.4945,15.7163968,3,88.704,76,22,7.5,Fall-Manchester-Collection
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1542,0.016,24.672,0.6325,15.60504,4,140.28,63,4,4.5,Fall-Manchester-Discount
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,2870,0.0138,39.606,0.53,20.99118,2,240.24,79,20,8,Fall-Manchester-Collection
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2357,0.0111,26.1627,0.66,17.267382,1,207.9,73,12,7,Fall-Manchester-Discount
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1425,0.01903,27.11775,0.506,13.7215815,4,88.2,22,15,7.5,Fall-Manchester-Collection
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,1777,0.01936,34.40272,0.8855,30.46360856,5,511.2,99,19,15,Fall-Manchester-Discount
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2609,0.01254,32.71686,0.4,13.086744,7,91.7,31,20,12,Fall-Manchester-Collection
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,2054,0.01177,24.17558,0.72,17.4064176,6,354,76,6,9,Fall-Manchester-Discount
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,935,0.0137,12.8095,0.1955,2.50425725,5,292.8,46,3,6,Fall-Manchester-Collection
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,1066,0.0131,13.9646,0.713,9.9567598,9,625.2,58,18,7.5,Fall-Manchester-Discount
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2179,0.0073,15.9067,0.43,6.839881,3,205,84,10,4,Fall-Manchester-Collection
Fall,9/3/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,1928,0.0127,24.4856,0.71,17.384776,5,243,95,16,4,Fall-Manchester-Discount
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1442,0.0186,26.8212,1.656,44.4159072,2,57.792,55,35,12,Fall-Birmingham-Collection
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1305,0.0154,20.097,2.093,42.063021,5,141.792,73,13,7.5,Fall-Birmingham-Discount
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,2818,0.0105,29.589,1.46,43.19994,1,35.2,67,26,6,Fall-Birmingham-Collection
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,1729,0.0084,14.5236,2.06,29.918616,0,126,97,16,5,Fall-Birmingham-Discount
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1743,0.02123,37.00389,0.4255,15.74515519,3,49.56,20,13,12,Fall-Birmingham-Collection
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1057,0.01584,16.74288,1.7595,29.45909736,6,386.4,104,10,13.5,Fall-Birmingham-Discount
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2391,0.01375,32.87625,0.2,6.57525,2,142.1,52,18,4,Fall-Birmingham-Collection
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,2397,0.01155,27.68535,1.09,30.1770315,4,227,95,6,5,Fall-Birmingham-Discount
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1596,0.0115,18.354,0.0115,0.211071,6,450,28,16,7.5,Fall-Birmingham-Collection
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,1103,0.0045,4.9635,0.5405,2.68277175,4,283.2,44,3,0,Fall-Birmingham-Discount
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,2236,0.0083,18.5588,0.06,1.113528,3,220,74,6,4,Fall-Birmingham-Collection
Fall,9/4/2023 0:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,1592,0.01,15.92,0.79,12.5768,2,150,53,15,5,Fall-Birmingham-Discount
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,1833,0.0214,39.2262,0.9085,35.6370027,5,65.856,57,7,10.5,Fall-London-Collection
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,2108,0.0173,36.4684,1.196,43.6162064,4,390.6,33,7,10.5,Fall-London-Discount
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,2546,0.014,35.644,0.42,14.97048,4,48.8,49,6,10,Fall-London-Collection
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,2892,0.0075,21.69,1.52,32.9688,4,101.5,76,14,15,Fall-London-Discount
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,1718,0.01661,28.53598,0.966,27.56575668,1,150.36,11,3,18,Fall-London-Collection
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,1345,0.01342,18.0499,2.254,40.6844746,8,469.2,88,11,21,Fall-London-Discount
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,2708,0.01551,42.00108,0.24,10.0802592,7,67.9,25,6,10,Fall-London-Collection
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,2164,0.01177,25.47028,1.28,32.6019584,4,270,110,27,7,Fall-London-Discount
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1773,0.0102,18.0846,0.805,14.558103,3,52.8,39,2,3,Fall-London-Collection
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,958,0.0112,10.7296,0.759,8.1437664,4,296.4,40,10,15,Fall-London-Discount
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,2571,0.0134,34.4514,1.05,36.17397,1,54,67,40,5,Fall-London-Collection
Fall,9/4/2023 0:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,2099,0.0088,18.4712,1.13,20.872456,5,497,42,33,3,Fall-London-Discount
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,2076,0.0201,41.7276,1.15,47.98674,5,157.248,62,8,7.5,Fall-Manchester-Collection
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1461,0.0166,24.2526,1.472,35.6998272,6,205.8,49,8,13.5,Fall-Manchester-Discount
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,3001,0.0126,37.8126,0.78,29.493828,5,173.6,88,24,8,Fall-Manchester-Collection
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2089,0.0133,27.7837,1.77,49.177149,3,86.8,85,20,9,Fall-Manchester-Discount
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1636,0.01573,25.73428,0.506,13.02154568,5,318.36,16,0,10.5,Fall-Manchester-Collection
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,1293,0.01815,23.46795,2.484,58.2943878,3,210,81,20,13.5,Fall-Manchester-Discount
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2536,0.01661,42.12296,0.78,32.8559088,3,192.5,72,2,8,Fall-Manchester-Collection
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,2524,0.01364,34.42736,1.53,52.6738608,7,319,90,14,3,Fall-Manchester-Discount
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,1803,0.0151,27.2253,1.035,28.1781855,3,79.2,31,10,6,Fall-Manchester-Collection
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,1283,0.0132,16.9356,1.2305,20.8392558,5,254.4,34,12,3,Fall-Manchester-Discount
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2010,0.011,22.11,0.98,21.6678,5,328,60,30,2,Fall-Manchester-Collection
Fall,9/4/2023 0:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,2371,0.0062,14.7002,0.57,8.379114,6,449,97,20,6,Fall-Manchester-Discount
Fall,9/5/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1497,0.0111,16.6167,1.0005,16.62500835,3,171.36,68,6,0,Fall-Birmingham-Collection
Fall,9/5/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1019,0.0117,11.9223,0.828,9.8716644,3,216.384,87,20,3,Fall-Birmingham-Discount
Fall,9/5/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,3010,0.0121,36.421,1.4,50.9894,0,21.6,92,33,1,Fall-Birmingham-Collection
Fall,9/5/2023 0:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,2907,0.0094,27.3258,0.7,19.12806,4,213.92,83,22,5,Fall-Birmingham-Discount
Fall,9/5/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1294,0.01837,23.77078,1.1155,26.51630509,2,13.2,31,6,10.5,Fall-Birmingham-Collection
Fall,9/5/2023 0:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1157,0.01485,17.18145,1.0465,17.98038742,4,349.2,106,8,12,Fall-Birmingham-Discount
